epoch,step,train/corr_offdiag_abs_max,train/corr_offdiag_abs_mean,train/diffusion,train/drift_abs,train/entropy_beta,train/loss_balance_term_epoch,train/loss_balance_term_step,train/loss_entropy_term_epoch,train/loss_entropy_term_step,train/loss_epoch,train/loss_sde_epoch,train/loss_sde_step,train/loss_step,train/mean_pi_var,train/pi_mean_e0,train/pi_mean_e1,train/pi_mean_e2,train/pi_min_mean,train/pi_var_e0,train/pi_var_e1,train/pi_var_e2,val/diffusion,val/drift_abs,val/entropy_beta,val/loss,val/loss_balance_term,val/loss_entropy_term,val/loss_sde,val/mean_pi_var,val/pi_mean_e0,val/pi_mean_e1,val/pi_mean_e2,val/pi_min_mean,val/pi_var_e0,val/pi_var_e1,val/pi_var_e2,val/rmse_next
0,5,,,,,,,,,,,,,,,,,,,,,,0.22169499099254608,0.06958330422639847,0.10000000149011612,-2.6727237701416016,0.0,0.06562741845846176,-2.6070961952209473,0.008842959068715572,0.15582285821437836,0.08320301026105881,0.760974109172821,0.08320301026105881,0.009980193339288235,0.0007880307966843247,0.015760652720928192,0.11101372539997101
0,5,0.0,0.0,0.3930352032184601,0.22636424005031586,,0.0,,0.09007588773965836,,0.6549690961837769,0.745045006275177,,,0.017529217526316643,0.2670881450176239,0.25223714113235474,0.48067471385002136,0.19578123092651367,0.01912599988281727,0.002396067138761282,0.03106558509171009,,,,,,,,,,,,,,,,
1,11,,,,,,,,,,,,,,,,,,,,,,0.0733056291937828,0.012568820267915726,0.10000000149011612,-7.250181674957275,0.0,0.022709470242261887,-7.227472305297852,0.00023201372823677957,0.02734656259417534,0.022383134812116623,0.9502702951431274,0.022383134812116623,0.00016233656788244843,7.956106128403917e-05,0.0004541435919236392,0.054088640958070755
1,11,0.0,0.0,0.1445489227771759,0.03763231262564659,,0.0,,0.045135147869586945,,-4.780515670776367,-4.73538064956665,,,0.003109545446932316,0.08427172899246216,0.05183238163590431,0.863895833492279,0.05183238163590431,0.003243379294872284,0.0004071216972079128,0.005678134970366955,,,,,,,,,,,,,,,,
2,17,,,,,,,,,,,,,,,,,,,,,,0.043000079691410065,0.006365323904901743,0.10000000149011612,-7.802425861358643,0.0,0.011323227547109127,-7.791102409362793,1.2990691175218672e-05,0.011140601709485054,0.009320061653852463,0.9795393347740173,0.009320061653852463,1.0988829671987332e-05,3.4821557619579835e-06,2.450108695484232e-05,0.05113634467124939
2,17,0.0,0.0,0.05274796113371849,0.008152585476636887,,0.0,,0.015189672820270061,,-7.144247055053711,-7.129057884216309,,,7.413098501274362e-05,0.01638869196176529,0.013669324107468128,0.9699419736862183,0.013669324107468128,5.34452628926374e-05,2.4765473426668905e-05,0.00014418219507206231,,,,,,,,,,,,,,,,
3,23,,,,,,,,,,,,,,,,,,,,,,0.06413166224956512,0.007972035557031631,0.10000000149011612,-7.600292205810547,0.0,0.017962679266929626,-7.582330226898193,2.029653660429176e-05,0.021320464089512825,0.014894352294504642,0.9637851715087891,0.014894352294504642,1.9272651115898043e-05,3.395236035430571e-06,3.822172948275693e-05,0.051622431725263596
3,23,0.0,0.0,0.05189038813114166,0.0074766227044165134,,0.0,,0.014105243608355522,,-7.512378692626953,-7.498273849487305,,,1.503393559687538e-05,0.015268079936504364,0.011651895940303802,0.973080039024353,0.011651895940303802,1.4148258742352482e-05,2.691529061848996e-06,2.8262018531677313e-05,,,,,,,,,,,,,,,,
4,29,,,,,,,,,,,,,,,,,,,,,,0.04995330423116684,0.004424733109772205,0.10000000149011612,-7.826641082763672,0.0,0.01311507448554039,-7.813525199890137,1.1121194802399259e-05,0.015011636540293694,0.009538359940052032,0.9754500389099121,0.009538359940052032,1.126255483541172e-05,1.4717810472575366e-06,2.0629247956094332e-05,0.051087167114019394
4,29,0.0,0.0,0.06024377793073654,0.006788623984903097,,0.0,,0.01661386527121067,,-7.67328405380249,-7.656670093536377,,,1.7365222447551787e-05,0.0198212880641222,0.013102001510560513,0.9670767784118652,0.013102001510560513,1.689320197328925e-05,2.6701554816099815e-06,3.2532308978261426e-05,,,,,,,,,,,,,,,,
