epoch,step,train/corr_offdiag_abs_max,train/corr_offdiag_abs_mean,train/diffusion,train/drift_abs,train/entropy_beta,train/loss_balance_term_epoch,train/loss_balance_term_step,train/loss_entropy_term_epoch,train/loss_entropy_term_step,train/loss_epoch,train/loss_sde_epoch,train/loss_sde_step,train/loss_step,train/mean_pi_var,train/pi_mean_e0,train/pi_mean_e1,train/pi_mean_e2,train/pi_min_mean,train/pi_var_e0,train/pi_var_e1,train/pi_var_e2,val/diffusion,val/drift_abs,val/entropy_beta,val/loss,val/loss_balance_term,val/loss_entropy_term,val/loss_sde,val/mean_pi_var,val/pi_mean_e0,val/pi_mean_e1,val/pi_mean_e2,val/pi_min_mean,val/pi_var_e0,val/pi_var_e1,val/pi_var_e2,val/rmse_next
0,5,,,,,,,,,,,,,,,,,,,,,,0.21782547235488892,0.06838665157556534,0.10000000149011612,-2.742288112640381,0.0,0.06548258662223816,-2.6768054962158203,0.008469036780297756,0.15245477855205536,0.08431021869182587,0.7632349729537964,0.08431021869182587,0.009362391196191311,0.0008406312554143369,0.015204089693725109,0.10990767925977707
0,5,0.24179574847221375,0.08137339353561401,0.38698285818099976,0.22463080286979675,,0.0,,0.09020496904850006,,0.609318196773529,0.6995231509208679,,,0.01698482036590576,0.26195386052131653,0.25511348247528076,0.4829326570034027,0.19705773890018463,0.017962735146284103,0.002576489932835102,0.030415233224630356,,,,,,,,,,,,,,,,
1,11,,,,,,,,,,,,,,,,,,,,,,0.07197321951389313,0.012329413555562496,0.10000000149011612,-7.332942485809326,0.0,0.02252810448408127,-7.3104143142700195,0.00021922519954387099,0.02696356549859047,0.022208865731954575,0.9508274793624878,0.022208865731954575,0.00015051887021400034,7.78822650318034e-05,0.0004292744561098516,0.05400438979268074
1,11,0.2484017014503479,0.0844239890575409,0.1421092450618744,0.03705783560872078,,0.0,,0.044963739812374115,,-4.850902557373047,-4.805939197540283,,,0.0029649848584085703,0.08267473429441452,0.052207812666893005,0.8651174306869507,0.052207812666893005,0.00303117954172194,0.00042050419142469764,0.005443270783871412,,,,,,,,,,,,,,,,
2,17,,,,,,,,,,,,,,,,,,,,,,0.04284001514315605,0.006586883682757616,0.10000000149011612,-7.907904148101807,0.0,0.011434749700129032,-7.896470069885254,1.3575589036918245e-05,0.011457594111561775,0.009261774830520153,0.9792806506156921,0.009261774830520153,1.1966266356466804e-05,3.3864523629745236e-06,2.537404725444503e-05,0.051154252141714096
2,17,0.2505069375038147,0.08578181266784668,0.052006129175424576,0.008140452206134796,,0.0,,0.015146283432841301,,-7.214079856872559,-7.198934078216553,,,7.07640137989074e-05,0.016348114237189293,0.013574468903243542,0.9700773358345032,0.013574468903243542,5.0494181778049096e-05,2.4260036298073828e-05,0.00013753784878645092,,,,,,,,,,,,,,,,
3,23,,,,,,,,,,,,,,,,,,,,,,0.06356202811002731,0.007458843756467104,0.10000000149011612,-7.655656337738037,0.0,0.018063342198729515,-7.637592315673828,2.526224488974549e-05,0.022344920784235,0.014242911711335182,0.9634121656417847,0.014242911711335182,2.5282191927544773e-05,3.5234916140325367e-06,4.698104748968035e-05,0.05161045491695404
3,23,0.2477957159280777,0.08530621230602264,0.051731135696172714,0.007418159395456314,,0.0,,0.014274775050580502,,-7.580941677093506,-7.566666603088379,,,1.7952364942175336e-05,0.01601301319897175,0.01136844139546156,0.972618579864502,0.01136844139546156,1.771051756804809e-05,2.7612138637778116e-06,3.3385364076821133e-05,,,,,,,,,,,,,,,,
4,29,,,,,,,,,,,,,,,,,,,,,,0.04883662611246109,0.004037331324070692,0.10000000149011612,-7.89437198638916,0.0,0.01290210336446762,-7.8814697265625,1.2070208867953625e-05,0.014941691420972347,0.00915493257343769,0.9759033918380737,0.00915493257343769,1.2571923434734344e-05,1.427194206371496e-06,2.221150862169452e-05,0.051093939691782
4,29,0.24655956029891968,0.08532438427209854,0.05923580750823021,0.006239744368940592,,0.0,,0.01652022823691368,,-7.743630409240723,-7.727111339569092,,,2.0506276996457018e-05,0.020306553691625595,0.012481704354286194,0.9672116637229919,0.012481704354286194,2.0785762899322435e-05,2.711569322855212e-06,3.80214951292146e-05,,,,,,,,,,,,,,,,
