epoch,step,train/corr_offdiag_abs_max,train/corr_offdiag_abs_mean,train/diffusion,train/drift_abs,train/entropy_beta,train/loss_balance_term_epoch,train/loss_balance_term_step,train/loss_entropy_term_epoch,train/loss_entropy_term_step,train/loss_epoch,train/loss_sde_epoch,train/loss_sde_step,train/loss_step,train/mean_pi_var,train/pi_mean_e0,train/pi_mean_e1,train/pi_mean_e2,train/pi_min_mean,train/pi_var_e0,train/pi_var_e1,train/pi_var_e2,val/diffusion,val/drift_abs,val/entropy_beta,val/loss,val/loss_balance_term,val/loss_entropy_term,val/loss_sde,val/mean_pi_var,val/pi_mean_e0,val/pi_mean_e1,val/pi_mean_e2,val/pi_min_mean,val/pi_var_e0,val/pi_var_e1,val/pi_var_e2,val/rmse_next
0,5,,,,,,,,,,,,,,,,,,,,,,0.19126653671264648,0.05897381529211998,0.10000000149011612,-3.3199658393859863,0.0,0.0566553920507431,-3.263310432434082,0.0033411907497793436,0.10076799243688583,0.07736662775278091,0.8218653798103333,0.07736662775278091,0.00326683116145432,0.000680956116411835,0.006075785029679537,0.09694229066371918
0,5,0.0,0.0,0.3737354874610901,0.18786048889160156,,0.0,,0.09093747287988663,,0.2929643988609314,0.3839019238948822,,,0.010938374325633049,0.23028774559497833,0.23195809125900269,0.5377541780471802,0.2052421122789383,0.009138746187090874,0.0027660499326884747,0.02091032825410366,,,,,,,,,,,,,,,,
1,11,,,,,,,,,,,,,,,,,,,,,,0.06314590573310852,0.00921319518238306,0.10000000149011612,-7.716519832611084,0.0,0.017084389925003052,-7.699435710906982,3.665805343189277e-05,0.016098015010356903,0.01798184961080551,0.9659200310707092,0.016098015010356903,2.5935130906873383e-05,2.312047035957221e-05,6.0918555391253904e-05,0.05258229747414589
1,11,0.0,0.0,0.12252333015203476,0.029879136011004448,,0.0,,0.03554508835077286,,-5.41226053237915,-5.376715183258057,,,0.0009498203289695084,0.05064206197857857,0.0434989333152771,0.9058589935302734,0.043003976345062256,0.0009739800589159131,0.00019727075414266437,0.0016782102175056934,,,,,,,,,,,,,,,,
2,17,,,,,,,,,,,,,,,,,,,,,,0.04598718509078026,0.005609822925180197,0.10000000149011612,-7.979308605194092,0.0,0.012139744125306606,-7.967168807983398,7.745788025204092e-06,0.01032373309135437,0.011878758668899536,0.9777975678443909,0.01032373309135437,4.913115844829008e-06,4.3793447730422486e-06,1.3944903912488371e-05,0.051242657005786896
2,17,0.0,0.0,0.04831049218773842,0.006240414921194315,,0.0,,0.012513183057308197,,-7.278692245483398,-7.266178607940674,,,1.1937021554331295e-05,0.01110564824193716,0.012094447389245033,0.9767999053001404,0.01110564824193716,9.116130968322977e-06,6.967812169023091e-06,1.9727114704437554e-05,,,,,,,,,,,,,,,,
3,23,,,,,,,,,,,,,,,,,,,,,,0.06161825358867645,0.00782990362495184,0.10000000149011612,-7.701345920562744,0.0,0.01772427372634411,-7.683621883392334,5.2176608733134344e-05,0.016558945178985596,0.019182706251740456,0.9642584323883057,0.016558945178985596,2.1395913790911436e-05,3.286540231783874e-05,0.00010226851009065285,0.05170615017414093
3,23,0.0,0.0,0.05602588132023811,0.00736927380785346,,0.0,,0.015820154920220375,,-7.636759281158447,-7.6209397315979,,,3.3804015401983634e-05,0.014014193788170815,0.017087886109948158,0.9688979387283325,0.014014193788170815,1.4145191926218104e-05,2.193208820244763e-05,6.53347815386951e-05,,,,,,,,,,,,,,,,
4,29,,,,,,,,,,,,,,,,,,,,,,0.0458744540810585,0.005286796949803829,0.10000000149011612,-7.731115818023682,0.0,0.011860120110213757,-7.719255447387695,1.7427262719138525e-05,0.011468944139778614,0.010206064209342003,0.9783249497413635,0.010206064209342003,1.0057165127363987e-05,7.657278729311656e-06,3.4567350667202845e-05,0.051035698503255844
4,29,0.0,0.0,0.05469970777630806,0.007092949002981186,,0.0,,0.015124683268368244,,-7.826847076416016,-7.811722755432129,,,3.4578944905661047e-05,0.0144655117765069,0.014891787432134151,0.9706427454948425,0.014149492606520653,1.677950785961002e-05,1.8666820324142464e-05,6.829051562817767e-05,,,,,,,,,,,,,,,,
5,35,,,,,,,,,,,,,,,,,,,,,,0.05154728144407272,0.003950810991227627,0.10000000149011612,-7.834120750427246,0.0,0.01385419350117445,-7.820266246795654,2.701089579204563e-05,0.0156900342553854,0.010669770650565624,0.9736402034759521,0.010669770650565624,1.913343476189766e-05,8.711430382390972e-06,5.318782132235356e-05,0.051177967339754105
5,35,0.0,0.0,0.045870017260313034,0.004563642665743828,,0.0,,0.011874544434249401,,-7.786993026733398,-7.775118350982666,,,1.798239281924907e-05,0.0121206846088171,0.009627019986510277,0.9782522916793823,0.009627019986510277,1.1568318768695462e-05,6.800948995078215e-06,3.5577915696194395e-05,,,,,,,,,,,,,,,,
6,41,,,,,,,,,,,,,,,,,,,,,,0.052394479513168335,0.0037138902116566896,0.10000000149011612,-7.902867317199707,0.0,0.014020894654095173,-7.888846397399902,2.732533357630018e-05,0.01615447737276554,0.01060960441827774,0.9732359051704407,0.01060960441827774,1.9591338059399277e-05,8.60883665154688e-06,5.3775820560986176e-05,0.051105815917253494
6,41,0.0,0.0,0.055040158331394196,0.004300257656723261,,0.0,,0.015117242000997066,,-7.83993673324585,-7.824819564819336,,,3.34557298629079e-05,0.018021002411842346,0.011415684595704079,0.9705632925033569,0.011415684595704079,2.493668216629885e-05,9.835448508965783e-06,6.559504981851205e-05,,,,,,,,,,,,,,,,
7,47,,,,,,,,,,,,,,,,,,,,,,0.047438204288482666,0.004387205000966787,0.10000000149011612,-7.937640190124512,0.0,0.012116975151002407,-7.925522804260254,1.8848475519916974e-05,0.012906819581985474,0.009393895044922829,0.9776992797851562,0.009393895044922829,1.2433642041287385e-05,6.7971354837936815e-06,3.731465039891191e-05,0.0508866123855114
7,47,0.0,0.0,0.04877612367272377,0.004027945920825005,,0.0,,0.012678191997110844,,-7.906004428863525,-7.8933258056640625,,,1.9945198800996877e-05,0.013979099690914154,0.009628623723983765,0.9763923287391663,0.009628623723983765,1.3895249139750376e-05,6.604576810786966e-06,3.9335773180937394e-05,,,,,,,,,,,,,,,,
8,49,,,,,0.10000000149011612,,0.0,,0.012024103663861752,,,-8.185201644897461,-8.197225570678711,,,,,,,,,,,,,,,,,,,,,,,,
