epoch,step,train/corr_offdiag_abs_max,train/corr_offdiag_abs_mean,train/diffusion,train/drift_abs,train/entropy_beta,train/loss_balance_term_epoch,train/loss_balance_term_step,train/loss_entropy_term_epoch,train/loss_entropy_term_step,train/loss_epoch,train/loss_sde_epoch,train/loss_sde_step,train/loss_step,train/mean_pi_var,train/pi_mean_e0,train/pi_mean_e1,train/pi_mean_e2,train/pi_min_mean,train/pi_var_e0,train/pi_var_e1,train/pi_var_e2,val/diffusion,val/drift_abs,val/entropy_beta,val/loss,val/loss_balance_term,val/loss_entropy_term,val/loss_sde,val/mean_pi_var,val/pi_mean_e0,val/pi_mean_e1,val/pi_mean_e2,val/pi_min_mean,val/pi_var_e0,val/pi_var_e1,val/pi_var_e2,val/rmse_next
0,6,,,,,,,,,,,,,,,,,,,,,,0.16073720157146454,0.042547691613435745,0.10000000149011612,-4.204662322998047,0.0,0.04825637489557266,-4.156405925750732,0.0008239069720730186,0.07470399886369705,0.0613606795668602,0.8639352917671204,0.0613606795668602,0.0009248192654922605,0.00019817893917206675,0.0013487227261066437,0.06995919346809387
0,6,0.0,0.0,0.37845566868782043,0.19286367297172546,,0.0,,0.09188947826623917,,0.3378773033618927,0.42976677417755127,,,0.007516607642173767,0.23109935224056244,0.2454674392938614,0.523433268070221,0.21487347781658173,0.006893946789205074,0.001645915093831718,0.014009961858391762,,,,,,,,,,,,,,,,
1,13,,,,,,,,,,,,,,,,,,,,,,0.04310973733663559,0.005766503978520632,0.10000000149011612,-8.877187728881836,0.0,0.011023830622434616,-8.866164207458496,1.2351726581982803e-05,0.009375633671879768,0.01041394378989935,0.9802104830741882,0.009375633671879768,4.01117767978576e-06,1.2517731192929205e-05,2.0526271327980794e-05,0.04156285524368286
1,13,0.0,0.0,0.10330312699079514,0.022097008302807808,,0.0,,0.02947402372956276,,-6.589901924133301,-6.560427665710449,,,0.00033643553615547717,0.03611798584461212,0.03576808050274849,0.9281139373779297,0.03429548069834709,0.0002501599083188921,0.00021440563432406634,0.0005447411094792187,,,,,,,,,,,,,,,,
2,20,,,,,,,,,,,,,,,,,,,,,,0.027862954884767532,0.0027486581820994616,0.10000000149011612,-7.985740661621094,0.0,0.006312959361821413,-7.979428291320801,2.35419133787218e-06,0.0049030291847884655,0.005175637546926737,0.9899213314056396,0.0049030291847884655,6.283536890805408e-07,2.0224351828801446e-06,4.411785084812436e-06,0.040919482707977295
2,20,0.0,0.0,0.03539283573627472,0.004078717436641455,,0.0,,0.008518128655850887,,-9.14334487915039,-9.13482666015625,,,1.611998595762998e-05,0.006830492522567511,0.007797239813953638,0.9853723049163818,0.006830492522567511,3.7277673072821926e-06,1.4792445654165931e-05,2.9839746275683865e-05,,,,,,,,,,,,,,,,
3,27,,,,,,,,,,,,,,,,,,,,,,0.04045021906495094,0.0036996856797486544,0.10000000149011612,-8.959762573242188,0.0,0.009739289060235023,-8.950023651123047,4.225334578222828e-06,0.009029846638441086,0.007918151095509529,0.9830520153045654,0.007918151095509529,2.7021749247069238e-06,1.610284243724891e-06,8.36354502098402e-06,0.04120456054806709
3,27,0.0,0.0,0.033501170575618744,0.0032909365836530924,,0.0,,0.0077230422757565975,,-9.049477577209473,-9.041755676269531,,,7.121122507669497e-06,0.006549542769789696,0.0063454448245465755,0.9871050119400024,0.006217756774276495,2.971925823658239e-06,4.3327108869561926e-06,1.4058731721888762e-05,,,,,,,,,,,,,,,,
4,34,,,,,,,,,,,,,,,,,,,,,,0.03497966751456261,0.00309365545399487,0.10000000149011612,-8.859918594360352,0.0,0.008002171292901039,-8.851916313171387,1.97800522983016e-06,0.006604419089853764,0.006749806459993124,0.9866458177566528,0.006604419089853764,9.951996844392852e-07,1.0317289707018062e-06,3.90708692066255e-06,0.0410904660820961
4,34,0.0,0.0,0.03980280086398125,0.0038095463532954454,,0.0,,0.009335341863334179,,-9.25153923034668,-9.242204666137695,,,7.1713361649017315e-06,0.008420753292739391,0.00771972443908453,0.9838595390319824,0.007719371933490038,4.219912625558209e-06,3.0361820790858474e-06,1.4257915609050542e-05,,,,,,,,,,,,,,,,
